Model,MAE,RMSE,R2
Linear Regression,Run notebooks/04_ml_model.ipynb,Run notebooks/04_ml_model.ipynb,Run notebooks/04_ml_model.ipynb
Random Forest,Run notebooks/04_ml_model.ipynb,Run notebooks/04_ml_model.ipynb,Run notebooks/04_ml_model.ipynb
